"movieTitle","ReviewVolume","PositiveReviews","NegativeReviews","TotalReviews","ReviewValence","Rank","Opening","DomesticGross","% of Total","Theaters","Average","Date","Distributor","WeeksInTheater","movieYear","maingenre","sidegenre","budget","movieId","BoxOfficeLegs","ReleaseDate","release_season","avgBuzz","log_BoxOfficeLegs","log_ReviewVolume"
"2012",124,52,72,124,0.419354838709677,162,65237614,166112167,39.3,3404,19164,"Nov 13, 2009","Sony Pictures Releasing",6.4,2009,"Adventure","Science Fiction",2e+08,"843f9ea8-c0ff-3271-8f50-2d23e88623ae",2.54626367849689,2009-11-13,"Autumn",25.3333333333333,1.26589456430568,4.8283137373023
"22 Jump Street",71,59,12,71,0.830985915492958,195,57071445,191719337,29.8,3.306,17262,"Jun 13, 2014","Sony Pictures Releasing",6.7,2014,"Comedy","Contemporary Fiction",5e+07,"c594a1e8-3749-370f-a4ca-9b0f1614cf83",3.35928653987997,2014-06-13,"Summer",29.953488372093,1.47230840632863,4.27666611901606
"300",100,61,39,100,0.61,133,70885301,210614939,33.7,3103,22844,"Mar 9, 2007","Warner Bros.",6.8,2007,"Action","Historical Fiction",6e+07,"9b5ed19d-d58e-353a-b773-7c9bd87949b3",2.97120751451701,2007-03-09,"Spring",29.9166666666667,1.37907020827984,4.61512051684126
"300: Rise of an Empire",75,31,44,75,0.413333333333333,287,45038460,106580051,42.3,3.47,12979,"Mar 7, 2014","Warner Bros.",4.6,2014,"Action","Historical Fiction",1.1e+08,"2cb14b3b-b0c5-3e21-b413-e7218d39355e",2.36642307485647,2014-03-07,"Spring",25.2222222222222,1.2138507785584,4.33073334028633
"A Quiet Place",138,129,9,138,0.934782608695652,250,50203562,188024361,26.7,3.508,14311,"Apr 6, 2018","Paramount Pictures",7.5,2018,"Horror","Science Fiction",1.7e+07,"221fa839-d26f-3339-a64a-9eaf6b39674c",3.74523945133614,2018-04-06,"Spring",31.0555555555556,1.55714189471616,4.93447393313069
"A Quiet Place Part II",183,167,16,183,0.912568306010929,268,47547231,160072261,29.7,3.726,12760,"May 28, 2021","Paramount Pictures",7.7,2021,"Horror","Science Fiction",6.1e+07,"7acb1149-a528-3e17-944b-add929a4c5b1",3.36659480759248,2021-05-28,"Spring",28.75,1.47398348512706,5.21493575760899
"A Star Is Born",242,211,31,242,0.871900826446281,306,42908051,215288866,19.9,3.686,11640,"Oct 5, 2018","Warner Bros.",9.4,2018,"Drama","Contemporary Fiction",3.6e+07,"a63be955-1d47-381f-b32b-04c2d32e44e1",5.01744686562436,2018-10-05,"Autumn",38.0833333333333,1.79466306066093,5.49306144334055
"Aladdin",175,95,80,175,0.542857142857143,87,91500929,355559216,25.7,4476,20442,"May 24, 2019","Walt Disney Studios Motion Pictures",8,2019,"Adventure","Fantasy",1.82e+08,"f26f39dc-a8ac-38ae-b51e-b30f59a677fe",3.88585361794523,2019-05-24,"Spring",33.1666666666667,1.58634401289949,5.17048399503815
"Alice in Wonderland",135,62,73,135,0.459259259259259,57,116101023,334191110,34.7,3728,31142,"Mar 5, 2010","Walt Disney Studios Motion Pictures",7.2,2010,"Adventure","Fantasy",2e+08,"7d3aec31-0e03-3122-ba80-c96e1d960729",2.87845103655977,2010-03-05,"Spring",26.0833333333333,1.35543585654521,4.91265488573605
"Alvin and the Chipmunks: The Squeakquel",50,8,42,50,0.16,259,48875415,219614612,22.3,3.7,13209,"Dec 23, 2009","Twentieth Century Fox",7.2,2009,"Adventure","Kids Fiction",7e+07,"373a578f-9fd6-35cf-91c0-85a6167b0a91",4.49335544260852,2009-12-23,"Winter",46.3055555555556,1.70353926055181,3.93182563272433
